lease_id,unit_id,property_id,tenant_id,start_date,end_date,monthly_rent,status,deposit_paid,furnished,payment_method
LC30BEB47,U00079,P0098,T01310,2025-02-16,2026-08-10,2461.3,Terminated,750.39,Yes,Credit Card
LC97C6523,U00080,P0076,T02292,2024-11-11,2025-11-06,3182.52,Expired,2910.81,Yes,Cash
L68216B71,U00081,P0077,T02245,2023-03-19,2023-09-15,2164.06,Active,3401.38,No,Cash
L164B3ACD,U00082,P0055,T01388,2023-11-12,2025-11-01,1927.95,Terminated,3452.33,Yes,Credit Card
L14D6ACF4,U00083,P0083,T01703,2025-02-04,2026-01-30,2603.38,Terminated,2404.01,Yes,Bank Transfer
L8EE2DC64,U00084,P0093,T01534,2024-09-01,2025-02-28,1248.08,Terminated,3145.78,Yes,Cash
LE9B05C0F,U00085,P0076,T00439,2023-12-25,2025-06-17,1954.22,Terminated,986.7,No,Bank Transfer
LD8B32207,U00086,P0041,T00068,2024-06-23,2025-06-18,834.04,Expired,2179.27,No,Bank Transfer
LBAB6B2FD,U00087,P0004,T01830,2025-03-07,2027-02-25,2223.98,Expired,2658.06,No,Bank Transfer
LE7308606,U00088,P0015,T01898,2025-02-04,2026-07-29,3203.7,Active,738.22,Yes,Credit Card
LFC270D4D,U00089,P0040,T02046,2022-08-08,2023-02-04,2775.04,Expired,1062.24,Yes,Cash
L9CECD96F,U00090,P0087,T01096,2023-09-04,2024-08-29,3117.08,Active,2957.19,No,Bank Transfer
L38BA7ACA,U00091,P0056,T01394,2023-04-12,2024-10-03,2260.14,Terminated,2630.73,No,Credit Card
L38A77720,U00092,P0006,T01370,2023-12-07,2025-05-30,1648.75,Expired,1913.5,No,Cash
LF80B13A6,U00093,P0024,T02926,2024-01-21,2025-07-14,3018.42,Expired,1877.8,No,Credit Card
LC72C3CFF,U00094,P0073,T00760,2022-12-08,2024-05-31,1766.06,Terminated,1982.64,No,Credit Card
L83A39935,U00095,P0034,T02886,2025-03-30,2025-09-26,3036.27,Active,1505.62,Yes,Cash
L0E38583C,U00096,P0091,T01676,2024-07-24,2025-01-20,1269.16,Active,2636.04,No,Bank Transfer
L0A949B62,U00097,P0078,T00676,2024-06-08,2024-12-05,3030.14,Active,801.91,Yes,Cash
L09911FF2,U00098,P0083,T00401,2024-12-24,2026-12-14,1447.66,Active,925.92,Yes,Credit Card
LDD09205F,U00099,P0074,T00089,2023-04-17,2023-10-14,1739.44,Active,1851.05,Yes,Bank Transfer
L247396AA,U00100,P0080,T02956,2025-03-28,2026-09-19,2821.83,Expired,2453.44,No,Bank Transfer
L6545E6B1,U00101,P0088,T01237,2023-04-19,2024-04-13,2476.51,Terminated,1557.12,No,Bank Transfer
LAA4161C5,U00102,P0043,T02416,2024-02-25,2026-02-14,3071.91,Expired,1913.86,Yes,Cash
LDE942E69,U00103,P0015,T00938,2025-02-21,2027-02-11,3443.58,Active,2402.43,No,Credit Card
LFFBD6AF8,U00104,P0061,T02694,2022-10-27,2024-04-19,1140.91,Terminated,2528.53,No,Cash
LCE786DE8,U00105,P0083,T02397,2023-01-24,2023-07-23,1677.78,Expired,2558.98,No,Credit Card
L26A3A081,U00106,P0049,T00907,2022-09-23,2024-03-16,988.03,Expired,1024.64,Yes,Credit Card
L8863A1E4,U00107,P0093,T00270,2025-04-25,2026-10-17,3110.49,Expired,1181.54,Yes,Cash
LF851F201,U00108,P0038,T02864,2024-08-09,2025-08-04,3060.01,Terminated,1337.83,Yes,Bank Transfer
L31C3D5B7,U00109,P0055,T00082,2024-01-19,2025-01-13,2535.78,Terminated,2582.45,No,Credit Card
L205EA60F,U00110,P0028,T02193,2022-11-28,2024-11-17,2184.17,Terminated,1415.93,Yes,Bank Transfer
LE2F496CD,U00111,P0015,T01060,2022-09-18,2023-09-13,1374.14,Expired,599.57,No,Bank Transfer
L0D9A5BCD,U00112,P0027,T02858,2024-10-01,2026-09-21,1620.66,Terminated,2459.49,No,Cash
LC6B15662,U00113,P0085,T02421,2022-07-27,2024-07-16,3333.42,Expired,3113.61,No,Credit Card
L07C959CD,U00114,P0081,T02046,2023-10-29,2025-10-18,2868.37,Expired,2865.34,No,Credit Card
L8D4381E1,U00115,P0024,T00652,2023-12-12,2025-12-01,2595.46,Active,1280.86,Yes,Bank Transfer
LDF09B740,U00116,P0023,T02490,2022-05-15,2023-11-06,3249.43,Expired,2512.2,No,Credit Card
LDE45B56A,U00117,P0067,T00677,2022-07-12,2023-01-08,2313.19,Active,832.97,Yes,Cash
LA957A39B,U00118,P0014,T02869,2024-09-13,2026-09-03,2007.05,Expired,1881.07,Yes,Cash
L683DA974,U00119,P0005,T00209,2024-06-15,2024-12-12,3134.32,Terminated,2139.94,No,Cash
L18FA8A06,U00120,P0074,T02279,2022-11-13,2024-11-02,1827.08,Expired,3430.4,No,Cash
LAAC6532E,U00121,P0059,T02799,2023-10-27,2025-10-16,1098.95,Terminated,1767.65,No,Cash
LF6A157D8,U00122,P0096,T02819,2024-03-31,2026-03-21,913.47,Active,2719.71,No,Credit Card
LA3739AD4,U00123,P0007,T02598,2023-10-06,2025-03-29,3278.81,Active,1340.11,Yes,Credit Card
L1A36F679,U00124,P0023,T01202,2023-12-15,2025-12-04,3117.52,Expired,1376.65,Yes,Cash
L1C346AF4,U00125,P0007,T00765,2025-02-10,2027-01-31,3259.08,Expired,2761.89,Yes,Credit Card
L11A5C8E4,U00126,P0092,T01058,2023-12-21,2024-06-18,2973.25,Terminated,554.02,No,Credit Card
LA42CD153,U00127,P0025,T01254,2024-10-02,2025-09-27,3399.59,Terminated,2680.01,No,Credit Card
L7BEEF0BA,U00128,P0078,T02520,2023-08-04,2024-07-29,1622.83,Expired,2988.18,No,Bank Transfer
L38B3EAEA,U00129,P0083,T00127,2024-04-25,2025-04-20,1560.11,Expired,3118.26,No,Credit Card
LB5CDB954,U00130,P0023,T01016,2024-12-16,2026-12-06,1103.97,Terminated,2611.06,Yes,Credit Card
L22349314,U00131,P0055,T01377,2024-08-19,2026-08-09,2259.89,Active,789.6,Yes,Cash
LDE7F977D,U00132,P0027,T02446,2025-02-26,2027-02-16,1453.11,Active,537.21,Yes,Bank Transfer
L365B51F1,U00133,P0004,T02340,2024-11-19,2026-11-09,2065.67,Active,1403.8,No,Credit Card
L56E14214,U00134,P0089,T02296,2024-01-04,2024-07-02,2415.57,Active,1391.71,Yes,Cash
L19150827,U00135,P0061,T02644,2022-07-22,2024-01-13,1609.78,Terminated,2729.58,No,Cash
L70811F83,U00136,P0019,T00759,2023-05-06,2023-11-02,929.99,Active,3208.68,No,Cash
L30CA7B6B,U00137,P0002,T02286,2023-01-09,2024-01-04,3101.11,Expired,2503.41,No,Bank Transfer
LC4E0DC87,U00138,P0049,T00587,2024-06-26,2025-12-18,2401.7,Expired,3176.91,Yes,Credit Card
L07B5E50A,U00139,P0005,T00725,2022-09-21,2023-03-20,1300.39,Terminated,736.91,No,Cash
LA7B2DB1F,U00140,P0004,T01578,2024-09-20,2026-09-10,1446.68,Terminated,2883.73,Yes,Cash
L2C27DA50,U00141,P0074,T01349,2022-10-30,2023-04-28,893.61,Active,2248.42,No,Cash
L9A18A9C2,U00142,P0026,T02174,2025-04-14,2026-04-09,3487.68,Terminated,3067.09,Yes,Cash
L68DD3F75,U00143,P0098,T02095,2023-02-05,2024-07-29,2207.9,Active,690.92,No,Bank Transfer
L8168355E,U00144,P0008,T00207,2023-02-14,2025-02-03,3044.71,Active,2296.94,No,Cash
LF1DA53B4,U00145,P0076,T02894,2025-03-11,2027-03-01,1110.32,Terminated,781.57,No,Credit Card
LBD63DA4C,U00146,P0088,T01874,2024-02-19,2025-02-13,3255.99,Expired,2507.6,Yes,Cash
L09758BB7,U00147,P0013,T00703,2025-04-10,2025-10-07,3039.07,Terminated,3136.94,Yes,Credit Card
L07274F90,U00148,P0079,T00458,2024-05-22,2026-05-12,2343.79,Active,2052.34,No,Credit Card
LB9B8A8C4,U00149,P0003,T00690,2024-10-08,2026-09-28,1962.15,Terminated,1450.84,No,Cash
L25129444,U00150,P0072,T01537,2022-12-24,2023-12-19,1973.41,Expired,2821.64,No,Cash
L615D0EEB,U00151,P0014,T02928,2024-05-10,2025-11-01,2425.19,Active,3177.57,Yes,Credit Card
LDC25C7AB,U00152,P0087,T00984,2024-07-10,2026-01-01,1997.13,Terminated,2321.27,No,Credit Card
LCAB3C7F7,U00153,P0077,T01367,2024-05-30,2026-05-20,2504.53,Expired,2275.09,No,Credit Card
L166614AC,U00154,P0007,T00556,2022-07-19,2024-07-08,2697.11,Active,1212.3,Yes,Credit Card
LC7A542FC,U00155,P0019,T00264,2024-02-28,2025-02-22,2183.38,Active,812.67,Yes,Cash
LF9659C06,U00156,P0028,T00264,2025-02-23,2026-08-17,1838.18,Expired,1963.0,No,Cash
L863D477C,U00157,P0085,T00480,2022-10-25,2023-10-20,2561.01,Expired,3351.59,Yes,Bank Transfer
LDDC97F7E,U00158,P0013,T02784,2024-10-30,2025-04-28,2421.76,Expired,2730.78,Yes,Credit Card
LD33A77DC,U00159,P0048,T02989,2024-02-04,2025-01-29,2166.92,Active,2402.31,Yes,Cash
L1DBD32A1,U00160,P0098,T01636,2024-03-21,2025-03-16,991.52,Active,1263.17,No,Bank Transfer
L05F265B6,U00161,P0011,T02990,2022-12-14,2023-06-12,1777.0,Active,1917.48,No,Cash
L1DD7A60F,U00162,P0096,T02859,2025-02-14,2025-08-13,923.25,Expired,920.07,No,Credit Card
LD11C6C51,U00163,P0024,T02935,2025-04-15,2026-04-10,1547.4,Active,3414.6,No,Credit Card
LE38C944D,U00164,P0052,T00160,2023-11-01,2025-10-21,1694.64,Expired,1946.12,Yes,Cash
LF5C30476,U00165,P0001,T02556,2024-02-11,2026-01-31,1329.46,Active,2332.34,Yes,Bank Transfer
LFDFF5F8E,U00166,P0097,T02833,2024-08-02,2026-01-24,1557.84,Expired,1120.98,No,Cash
L3F97B04F,U00167,P0058,T02896,2023-02-20,2024-02-15,2194.75,Terminated,516.52,Yes,Cash
LEFD1F5D2,U00168,P0074,T00582,2022-12-13,2023-06-11,820.69,Expired,1157.21,No,Credit Card
LB6FA4D46,U00169,P0041,T01804,2023-10-15,2025-04-07,899.15,Expired,824.08,No,Bank Transfer
LACE7B98D,U00170,P0049,T01843,2022-06-30,2024-06-19,1714.92,Terminated,2907.76,No,Bank Transfer
LE4D1806C,U00171,P0059,T02868,2025-03-29,2027-03-19,2344.53,Terminated,2038.0,No,Cash
L6E195DBB,U00172,P0092,T01017,2022-07-13,2024-01-04,1592.42,Expired,3295.26,Yes,Cash
L975BDA60,U00173,P0060,T00900,2024-10-15,2026-10-05,1871.94,Expired,761.28,Yes,Bank Transfer
L5BEF2E96,U00174,P0068,T02135,2024-04-18,2025-10-10,2466.08,Terminated,841.52,Yes,Credit Card
L1B9BE7A2,U00175,P0016,T01510,2023-09-28,2025-09-17,1732.1,Terminated,2022.24,No,Bank Transfer
LAACFEDD1,U00176,P0031,T02838,2023-02-27,2024-02-22,3160.4,Active,1980.64,No,Bank Transfer
L1AECC235,U00177,P0093,T02684,2023-07-31,2024-07-25,2696.1,Expired,3478.45,Yes,Bank Transfer
L9F8B8EB9,U00178,P0077,T01417,2023-01-04,2023-07-03,1155.02,Active,1324.19,No,Credit Card
LC32927E8,U00179,P0043,T02744,2023-07-20,2024-01-16,1865.36,Terminated,1765.48,Yes,Cash
L3535587A,U00180,P0016,T02927,2023-04-25,2023-10-22,1909.76,Active,3222.83,No,Bank Transfer
LE1DD29AC,U00181,P0020,T01617,2024-09-07,2026-08-28,2727.89,Active,2323.72,No,Bank Transfer
LE13FCBEE,U00182,P0048,T00361,2022-09-05,2023-03-04,1635.31,Expired,2971.37,Yes,Cash
L239C3A7B,U00183,P0017,T02476,2022-05-10,2023-05-05,3378.66,Active,2963.59,No,Cash
LD4E8E10E,U00184,P0086,T01553,2024-05-09,2025-05-04,804.23,Active,2409.2,No,Credit Card
LA4C72ED7,U00185,P0045,T02677,2022-05-10,2023-05-05,938.07,Active,1272.82,Yes,Bank Transfer
L09103201,U00186,P0082,T00571,2024-04-01,2025-09-23,960.72,Expired,2311.39,Yes,Credit Card
L396892D4,U00187,P0013,T02298,2022-06-05,2024-05-25,2653.79,Terminated,843.46,Yes,Cash
L1F848D6B,U00188,P0078,T01403,2024-11-12,2025-05-11,1836.36,Active,1868.71,Yes,Bank Transfer
L5CDF5369,U00189,P0035,T00842,2022-11-03,2023-10-29,1796.44,Terminated,863.08,Yes,Cash
L9EFDAC63,U00190,P0051,T00332,2024-07-30,2026-01-21,1931.16,Active,2753.53,No,Cash
LD7532FCB,U00191,P0096,T02168,2023-12-16,2024-12-10,991.72,Expired,740.54,No,Credit Card
LAC6BCB39,U00192,P0081,T00387,2022-05-25,2022-11-21,1757.88,Expired,3325.18,No,Bank Transfer
LE8F61994,U00193,P0044,T01836,2024-03-20,2024-09-16,2605.15,Active,2536.01,Yes,Cash
L6F08F917,U00194,P0091,T01857,2025-01-26,2026-07-20,1777.18,Expired,2280.98,No,Bank Transfer
L042330B3,U00195,P0029,T01374,2024-08-28,2026-08-18,827.35,Terminated,2408.29,No,Bank Transfer
LCEF6315F,U00196,P0081,T02562,2022-11-05,2023-10-31,3265.87,Active,2337.72,Yes,Credit Card
L8CDADFA4,U00197,P0070,T02736,2024-08-13,2025-08-08,3158.99,Active,2671.92,Yes,Cash
L8E091C19,U00198,P0016,T00609,2025-03-28,2026-09-19,1125.51,Expired,3207.36,No,Bank Transfer
LC10930BE,U00199,P0053,T01009,2025-02-06,2025-08-05,979.4,Terminated,2101.9,Yes,Bank Transfer
LAA3853C1,U00200,P0066,T02551,2022-10-09,2023-04-07,1183.77,Expired,535.12,No,Credit Card
L8AF04F5C,U00201,P0022,T00406,2024-11-21,2026-11-11,1939.49,Active,1385.12,No,Bank Transfer
L841E87E0,U00202,P0019,T02276,2023-12-10,2025-11-29,2112.2,Active,2231.6,No,Bank Transfer
L84668C2C,U00203,P0065,T01721,2023-06-08,2024-11-29,918.1,Active,869.01,No,Bank Transfer
L3BB18690,U00204,P0038,T02266,2022-06-25,2023-06-20,2308.33,Terminated,1529.5,No,Bank Transfer
L35C86E35,U00205,P0022,T00449,2023-12-17,2024-12-11,2768.77,Expired,2456.87,No,Cash
LD66354A8,U00206,P0034,T00549,2024-03-12,2024-09-08,3083.13,Active,2577.48,No,Bank Transfer
L30013433,U00207,P0036,T00633,2025-02-23,2026-02-18,1960.81,Terminated,2518.9,Yes,Cash
L21F77AA1,U00208,P0083,T00493,2024-10-04,2026-03-28,1543.53,Expired,1418.94,Yes,Credit Card
LC2411722,U00209,P0038,T01454,2024-10-31,2026-04-24,2930.26,Expired,1839.26,Yes,Credit Card
LDC120A7C,U00210,P0009,T00818,2023-03-07,2024-03-01,2955.63,Active,2967.27,No,Credit Card
L07751A1D,U00211,P0067,T02634,2025-01-05,2026-12-26,3115.42,Active,3249.91,No,Credit Card
LA4E206A0,U00212,P0098,T02681,2022-12-07,2023-12-02,1963.66,Active,1456.6,Yes,Credit Card
LED65D87C,U00213,P0093,T01960,2022-08-25,2023-02-21,2371.94,Active,1613.52,No,Credit Card
LCBE152CD,U00214,P0001,T00514,2023-12-03,2024-11-27,2422.9,Terminated,2616.76,No,Credit Card
LBBD22477,U00215,P0037,T00812,2025-03-01,2026-02-24,2658.69,Expired,1623.66,No,Credit Card
L26B2D0DB,U00216,P0100,T00934,2022-12-29,2024-06-21,1250.52,Expired,1791.59,Yes,Credit Card
L869AB5FA,U00217,P0007,T01947,2023-08-29,2024-08-23,1185.0,Active,3170.29,Yes,Bank Transfer
LAFEADABD,U00218,P0041,T01868,2025-01-22,2027-01-12,1733.87,Active,963.38,Yes,Credit Card
L7F6224F9,U00219,P0088,T00627,2022-12-24,2024-06-16,868.71,Expired,2437.47,No,Credit Card
L6B4C351A,U00220,P0095,T00338,2023-01-16,2025-01-05,2519.64,Expired,1521.81,Yes,Credit Card
L66FEBC94,U00221,P0045,T01394,2024-02-08,2024-08-06,993.62,Expired,1728.89,Yes,Cash
L4200765C,U00222,P0025,T02250,2024-11-23,2026-05-17,1640.29,Active,2531.36,Yes,Cash
L443C0A5A,U00223,P0086,T00926,2024-09-05,2026-08-26,2435.6,Active,1593.78,Yes,Bank Transfer
LBCD1DE03,U00224,P0018,T02152,2024-03-21,2026-03-11,1388.31,Expired,3464.11,No,Cash
LCB31E5C0,U00225,P0023,T01763,2022-05-20,2022-11-16,2025.8,Terminated,2564.82,Yes,Cash
L98F6BA2F,U00226,P0065,T01367,2023-10-03,2024-03-31,1179.49,Active,1956.77,Yes,Credit Card
L60202752,U00227,P0075,T02431,2024-07-27,2026-01-18,874.35,Terminated,2016.37,No,Bank Transfer
L1E126A8A,U00228,P0017,T01336,2022-10-24,2023-04-22,3402.85,Terminated,1652.62,Yes,Bank Transfer
LAE278424,U00229,P0047,T00763,2022-07-07,2024-06-26,905.29,Active,592.87,No,Cash
LD6B38AB7,U00230,P0029,T01879,2023-10-19,2024-10-13,1847.56,Active,980.07,Yes,Credit Card
L42AFC313,U00231,P0090,T01328,2023-05-19,2024-05-13,863.05,Terminated,2768.64,No,Cash
L26D258AC,U00232,P0022,T00840,2024-10-31,2026-04-24,2038.01,Active,1367.73,No,Credit Card
L3A22AB02,U00233,P0002,T01631,2024-02-13,2026-02-02,3230.22,Active,848.42,Yes,Bank Transfer
L0E3CE026,U00234,P0040,T01368,2022-08-14,2024-02-05,3380.98,Active,1441.9,Yes,Cash
L6E7F2653,U00235,P0025,T00482,2025-01-27,2026-01-22,3198.69,Expired,2308.83,No,Credit Card
L92EFADE7,U00236,P0007,T00680,2023-07-28,2024-07-22,3032.11,Terminated,3452.04,Yes,Bank Transfer
L2E4730E6,U00237,P0052,T01658,2023-08-21,2024-02-17,1578.69,Expired,3383.41,Yes,Bank Transfer
L767303D5,U00238,P0074,T01317,2022-09-25,2023-03-24,1851.6,Expired,1656.54,No,Cash
LA0BDE1B1,U00239,P0003,T02640,2025-03-15,2026-09-06,1719.05,Expired,2124.22,No,Bank Transfer
L4986B7A8,U00240,P0086,T02586,2022-12-24,2023-12-19,1216.19,Expired,2161.13,No,Cash
L0A0E24A8,U00241,P0024,T02367,2022-10-11,2023-04-09,2262.6,Active,2785.71,No,Bank Transfer
L5DCE6A93,U00242,P0034,T02024,2024-05-16,2026-05-06,3050.85,Terminated,1821.32,No,Cash
L89CABC79,U00243,P0015,T01166,2025-05-01,2026-10-23,1616.3,Terminated,1278.0,Yes,Bank Transfer
L75BE6FDE,U00244,P0028,T01276,2024-07-21,2026-07-11,1325.48,Terminated,672.94,Yes,Credit Card
LDF64E594,U00245,P0042,T00981,2023-08-28,2024-08-22,1724.61,Terminated,1310.74,Yes,Bank Transfer
L7261CCC1,U00246,P0025,T01018,2024-11-05,2025-10-31,3409.33,Active,2173.13,No,Credit Card
L66D8C999,U00247,P0055,T00564,2024-10-01,2025-03-30,1737.65,Terminated,2241.4,No,Cash
