building_id,building_name,address,region,sqft,floors,year_built,has_solar,is_leed_certified,manager
B0021,Pham LLC,"66061 Stevens Rest Suite 983, South Nicholas, OR 19155",South,3685,8,2003,No,No,Peter Mcknight
B0022,Golden PLC,"781 Alfred Tunnel Apt. 775, Johnsonmouth, SC 06075",East,9476,3,2002,No,Yes,Regina Boone
B0023,House-Allen,"Unit 9797 Box 9816, DPO AA 37490",North,2769,1,2017,No,No,Sharon Harris
B0024,Lee Inc,"492 Kara Road, Christopherport, IN 29173",West,4391,4,1992,No,No,Evan Strong
B0025,Jenkins-Allen,"4439 Daniels Field Apt. 280, East Adam, MT 39245",East,7611,2,1993,No,Yes,Michael Martinez
B0026,Wright LLC,"75047 Leslie Spring Apt. 562, West Michaelborough, MD 30724",South,9581,8,2006,Yes,Yes,Anthony Pineda
B0027,Davis-Goodman,"1565 Lynn Falls, Melissashire, KY 46103",South,8949,4,2004,Yes,No,Kelly Jimenez
B0028,"Li, Young and Hughes","8099 Myers Gateway, North William, MO 47904",South,4433,2,2013,No,Yes,Chloe Phillips
B0029,Santos-Mcneil,"2750 Wagner Crescent Suite 761, Dicksonhaven, AK 58994",West,7311,6,2009,No,No,Seth Salas
B0030,"Harris, Clark and Johnson","064 Wayne Locks Suite 038, West Amber, AR 50235",North,7051,6,1991,Yes,Yes,Jessica Holloway
B0031,"Osborne, Bright and Vaughn","9520 Olson Mount, East Jasonside, MT 23597",East,8420,4,1996,No,Yes,Eric Smith
B0032,Pearson Inc,"452 Brooke Plaza Suite 319, Jenkinsstad, MT 31041",East,3184,6,2004,Yes,No,Jason Madden
B0033,Lee Ltd,"48327 Scott Place, Heatherville, WI 79628",East,6555,2,1970,Yes,No,Bobby Brown
B0034,"Hall, Miles and Walton","564 Smith Route Apt. 680, New Carlosshire, ID 56807",East,5385,2,2004,No,Yes,Joseph Padilla
B0035,"Johnson, Sims and Robinson","3816 Ashley Parkways Suite 492, Blakefort, WA 06005",East,6117,4,2006,No,No,Jessica Miller
B0036,"Berg, Barnes and Nguyen","2584 Nina Ford Apt. 082, Contrerashaven, WV 72827",North,8396,8,2016,No,Yes,Luis Thomas
B0037,Anderson LLC,"224 Smith Path, Bautistaberg, GA 08639",West,6843,7,1983,No,Yes,Samantha Lambert DVM
B0038,Riley-Reed,"94326 Andrea Port Apt. 706, Port Anthonyview, NM 30358",West,4904,9,1972,Yes,Yes,Adam Smith
B0039,Holmes-Hernandez,"7907 Lynch Parks Apt. 921, Adamsside, DE 25117",West,9728,8,1970,No,No,Steven Phillips
B0040,Robinson-Richardson,"86001 Brandon Loop, Michaelland, FL 89421",South,2474,5,1974,Yes,No,Brandy Andrade
B0041,Eaton Inc,"159 Miles Valleys Suite 379, East Donna, AK 36877",North,3082,2,1995,Yes,Yes,Paula Williams
B0042,Charles Inc,"86843 English Light, Jessetown, ID 88380",West,4558,5,1983,No,Yes,Scott Montgomery
B0043,"Morgan, Gregory and Cole","118 Anderson Pines Suite 510, New Christopherfurt, CT 10607",South,9849,8,2008,No,Yes,Maria Alvarez
B0044,Johnson-Jones,"3572 Leslie Garden, New Lindaland, VT 32678",North,4047,9,1996,No,No,Thomas Gonzales
B0045,Salas LLC,"4501 Moore Points Suite 285, Harringtonborough, OR 01916",West,9643,9,1978,No,No,Paula Vance
B0046,Cline-Newman,"45125 Miranda Prairie, Rachelburgh, VA 74866",North,4747,1,1984,Yes,No,Alicia Velez
B0047,Lee Group,"7763 Helen Ford, North Christopherburgh, HI 19304",North,2975,9,1984,Yes,No,Courtney Palmer
B0048,Hutchinson Ltd,"8515 Cruz Estates, Lake Brandi, AK 89570",North,3806,7,1995,Yes,Yes,Lisa Gordon
B0049,Dean LLC,"2634 Schneider Path, Lake Jacob, NY 63299",West,2189,9,2011,Yes,Yes,Sharon Watson
B0050,Cruz-Cooke,"6270 Jacqueline Rapids, North Cherylstad, ME 68197",South,9101,8,1982,No,Yes,Steven Oconnell
