usage_id,building_id,timestamp,kwh_consumed,meter_id,reading_type,is_peak,power_factor,voltage,current
380fdbe9-b28a-44ac-bf30-feb23836dea9,B0027,2034-08-27 04:11:00,142.01,M058,Auto,Yes,0.88,210.37,48.0
f8ea1118-21df-4a6a-bba5-753e93c7239e,B0033,2025-01-04 01:29:00,129.62,M004,Auto,Yes,0.75,232.9,20.46
c933d158-5b7d-4298-af1d-4f31c68edc6b,B0016,2030-08-26 17:17:00,92.46,M041,Manual,No,0.74,218.23,13.41
5ce0947c-43ea-45d9-97ae-58fe9d82be30,B0002,2027-05-17 15:55:00,117.19,M089,Auto,No,0.92,225.35,39.24
37b7387d-22db-4bad-b220-dc854de3ad72,B0027,2025-06-19 16:54:00,283.47,M065,Manual,No,0.78,219.58,13.7
8a64ad7c-27e1-4867-bfc9-187f184e0b2a,B0044,2025-11-25 12:35:00,207.88,M022,Manual,Yes,0.82,213.16,33.21
6355a3ca-c833-4aca-bd3b-17348425994c,B0016,2034-03-01 02:55:00,41.8,M041,Auto,No,0.82,232.32,46.33
d45bb667-729c-4d89-a84f-18241c58736b,B0009,2039-08-05 22:18:00,134.42,M055,Manual,No,0.75,221.11,31.73
a9eb4832-811b-4aaa-a6a6-f4a2bd97a41b,B0010,2027-10-12 14:53:00,130.97,M072,Auto,Yes,0.93,226.41,46.01
f9059a4f-de34-455f-8a44-bdedd5be2a13,B0049,2028-11-28 19:35:00,351.19,M085,Auto,No,0.97,220.38,36.72
81291e1c-cd91-4bc4-8a54-dc60cf2ab978,B0010,2028-08-08 00:49:00,359.01,M017,Manual,No,0.9,239.57,12.77
e6c1659e-7e07-4657-a2c1-77a64d7c5c7a,B0045,2036-02-18 20:46:00,82.56,M017,Manual,Yes,0.87,225.07,45.84
917ae7f8-caa1-4820-bd80-dc2f8bbca0ce,B0006,2032-02-12 16:18:00,498.89,M032,Auto,No,0.71,237.71,37.47
258fcae4-7e16-4d6d-9903-0bb6fbf748ea,B0004,2027-07-15 18:25:00,140.72,M092,Manual,No,0.94,234.14,22.52
1528c0f8-475a-404c-8546-9871c4d4fca1,B0024,2032-09-03 03:38:00,488.54,M043,Auto,No,0.83,232.84,45.54
f27d9fc6-93b0-464e-9216-333cb7d97635,B0033,2029-08-25 12:27:00,211.41,M085,Auto,Yes,0.74,233.07,39.12
787f4d3e-eedd-4522-9b52-613f884d9d86,B0038,2025-02-09 03:57:00,26.19,M074,Manual,No,0.7,232.85,18.59
f6d37be0-e11e-4282-8444-79866db560d1,B0049,2033-11-08 17:09:00,179.08,M052,Auto,Yes,0.74,226.69,40.12
bb3f6ec0-ccec-4eda-b8a2-6f4443e77ff0,B0006,2027-11-17 19:12:00,320.83,M042,Auto,Yes,0.71,236.63,10.77
bc0c29d5-8033-4cd2-8c37-b7a0af3e756c,B0018,2025-12-19 17:52:00,343.55,M085,Manual,No,0.82,221.83,12.0
a83c2800-1194-43e8-a723-9ea6cbbdd6d3,B0011,2032-08-29 12:27:00,270.16,M010,Manual,Yes,0.84,238.12,31.58
8fa6f4f3-c511-47f9-9c51-a590d1d6962d,B0016,2035-09-21 02:09:00,229.41,M032,Auto,Yes,0.87,214.83,47.28
d3aa5ea7-bd4a-48fb-88f0-3df012e5304b,B0016,2039-10-09 19:42:00,280.92,M098,Auto,No,0.71,223.42,46.93
a7a290d3-9bf1-4446-a968-7dfc3ac3afea,B0048,2038-02-04 13:59:00,300.42,M013,Auto,No,0.78,222.73,11.38
8787b73d-0281-429a-a369-17c50802e053,B0038,2029-12-21 21:26:00,49.62,M006,Manual,Yes,0.74,222.24,45.29
986e65de-a21f-45e2-ae81-8fcca706338d,B0021,2026-07-04 06:13:00,191.13,M053,Auto,No,0.73,223.37,45.0
be36f8eb-780d-46eb-81ad-807eb8df0737,B0050,2025-11-09 12:19:00,128.66,M094,Auto,No,0.88,227.82,17.42
d25c413b-9c9d-4022-96af-5cff886ddef2,B0024,2039-09-02 23:11:00,403.54,M031,Manual,Yes,0.8,235.88,48.16
fffcb2c8-3e9e-48cd-8995-da5b4f738115,B0009,2030-12-18 12:33:00,240.45,M024,Manual,Yes,0.72,212.92,13.51
8963440a-f0c8-4746-9650-d894843e8e71,B0001,2030-09-21 08:12:00,491.88,M093,Auto,Yes,0.9,224.9,24.28
ecc5c253-7216-46f2-baa1-6d2405e270e3,B0049,2032-08-29 07:36:00,205.42,M074,Manual,No,0.77,217.24,29.4
cfb2803d-bc3c-406f-ad98-fbeb9ac449ea,B0002,2038-11-21 15:46:00,410.05,M085,Auto,Yes,0.81,215.75,17.18
256fb325-b1ba-46bc-bc95-6241e0240933,B0008,2035-09-17 23:10:00,401.19,M062,Manual,No,0.84,238.2,20.55
e4c2d33a-6e8a-42a1-bb11-42fb6e253ebe,B0021,2032-07-24 06:59:00,83.85,M070,Auto,Yes,0.99,230.73,15.68
c7b11b09-f1d1-40c1-a277-72ef89e8f813,B0049,2030-02-20 10:21:00,259.02,M068,Manual,No,0.77,216.25,44.58
61131b49-3d58-4862-b918-5cff23cfa6ae,B0039,2037-07-01 13:34:00,350.95,M042,Manual,Yes,0.97,228.82,6.32
d3083800-3545-46f3-acd7-8a25b3c0ba8e,B0021,2039-01-28 05:59:00,430.6,M001,Auto,No,0.97,231.16,45.38
d31ee96e-3337-4af1-8ce2-a20f43c5ba22,B0025,2039-06-10 18:11:00,169.72,M028,Auto,No,0.89,217.3,11.7
7d522f07-76a0-48f1-a26e-b5339bd627bd,B0025,2038-01-14 06:32:00,117.92,M010,Auto,No,0.7,210.76,13.83
ea8d50a4-0c8b-4ae5-94bc-f09aa80de35a,B0037,2030-11-28 23:54:00,358.46,M079,Auto,Yes,0.98,225.08,33.72
6f076306-c45f-4dfc-9761-f66b2596519b,B0032,2032-08-28 21:52:00,406.66,M041,Manual,No,0.89,233.98,11.62
040259f8-dfb2-437f-aec1-67e4b0cdf7e3,B0019,2028-08-11 04:21:00,180.85,M015,Auto,No,0.81,232.8,48.16
56606138-a388-46de-8b55-2b3baed48b03,B0040,2036-02-11 23:40:00,57.13,M059,Manual,No,0.71,211.99,17.48
b55fd996-60f4-459e-972a-9f3c1635fa35,B0043,2039-03-05 16:50:00,470.86,M030,Auto,Yes,0.97,215.19,47.44
f4d639f1-d3af-4239-9905-2d96e475fad8,B0043,2030-08-19 00:34:00,204.81,M016,Auto,Yes,0.93,211.71,49.21
666f7f07-dd7f-4c5c-8c6b-fa9a5c772536,B0012,2031-12-09 14:27:00,263.7,M012,Auto,Yes,0.95,222.37,30.93
df3dc073-7ceb-4ec7-b51c-e6d5d2dd0ea3,B0027,2025-04-29 07:25:00,420.48,M083,Auto,Yes,0.75,220.23,12.56
1e96580c-628b-4367-9fe5-3211101d4ac1,B0046,2035-01-26 17:37:00,341.09,M011,Auto,No,0.86,226.37,43.04
956408f1-0c72-45cd-b466-426cb00400a5,B0009,2038-03-06 14:39:00,370.26,M063,Auto,Yes,0.71,213.45,10.68
8f3c2e71-077a-4f13-b3af-c9234077d592,B0035,2026-10-13 03:41:00,112.45,M093,Auto,Yes,0.72,225.22,26.2
3103609a-fecc-4355-ba8d-278c72bf9202,B0015,2026-03-28 23:59:00,275.31,M093,Manual,Yes,0.84,230.13,27.67
1a440f2c-443a-4613-9d0c-c8c9759c2b3a,B0042,2027-02-18 16:31:00,350.93,M085,Auto,No,0.98,210.75,30.41
619c6f5c-a31b-46da-b64d-87f2fafb955c,B0002,2033-05-13 16:33:00,121.99,M053,Manual,Yes,0.75,233.36,21.15
f5bd94a2-df6c-4bf1-a0cc-67d454fb2dc7,B0017,2027-02-08 00:23:00,95.73,M084,Manual,Yes,0.96,213.16,12.35
b690072d-8bde-4277-a88d-e5236061c35d,B0009,2038-03-18 15:02:00,491.26,M011,Manual,Yes,0.96,210.33,7.72
f91c38d8-2143-4bdd-81f5-002edf5e0702,B0049,2025-03-18 18:38:00,263.15,M091,Auto,Yes,0.79,225.8,17.47
7f97f594-ba44-4d48-9355-070fdbfdac98,B0014,2026-09-13 14:48:00,137.81,M033,Auto,No,0.88,214.46,19.82
2372c3c4-ee62-4ceb-883a-8c05de2d3a11,B0030,2031-06-27 13:08:00,498.16,M074,Auto,Yes,0.99,212.02,32.46
4c2dce88-9d62-49c4-8219-5088cea26031,B0034,2028-07-11 19:06:00,483.06,M064,Auto,Yes,0.76,238.12,35.86
098f2aa1-191a-4ea9-ba1b-9e2b07dfb7c1,B0002,2027-05-02 15:43:00,283.56,M084,Manual,No,0.73,233.75,41.27
0b608b99-0d10-4085-ab40-5194461005ad,B0011,2034-12-15 22:37:00,442.49,M025,Manual,Yes,0.95,217.03,44.24
5b605757-687e-455c-a01c-f4f768ed8aed,B0030,2029-02-16 02:15:00,102.47,M069,Auto,Yes,0.98,226.57,7.23
e4c13bce-590d-45bb-8622-7668469af21d,B0040,2035-06-19 00:36:00,146.65,M051,Auto,Yes,0.78,211.92,13.55
10c74117-dd20-4db8-abd1-4f73d58d9aac,B0007,2034-12-18 08:07:00,353.18,M049,Auto,No,0.94,211.19,13.71
d1b07387-c93e-4dd5-afae-bf5d9fc948af,B0005,2034-03-12 15:34:00,424.86,M085,Manual,No,0.92,231.04,7.7
621c93f0-b848-4698-8a25-3c124976aad3,B0031,2037-08-01 00:23:00,429.6,M014,Manual,Yes,0.75,218.72,35.31
ace0ee88-32fc-4a3d-a6fa-ea4ef5ad93dc,B0033,2035-04-18 06:14:00,208.21,M043,Auto,No,0.93,221.52,45.26
4fff1e68-8fe9-4c87-a895-8543d04e8019,B0017,2038-09-04 06:26:00,445.01,M008,Manual,Yes,0.84,224.44,41.58
a7ec3f12-ba1f-4e93-883b-66d32e848c1f,B0013,2036-08-16 04:28:00,426.95,M015,Manual,No,0.86,215.45,30.02
e7437ef4-a72e-4966-a69c-7ce09e575ee0,B0034,2039-04-05 08:17:00,468.46,M002,Manual,No,0.94,210.77,13.17
68c86c8a-1ae6-41b8-9c02-23000bbf4068,B0004,2038-10-05 01:08:00,394.82,M054,Manual,Yes,0.81,210.47,16.0
774264f4-19e2-4ff7-b605-a96601165597,B0045,2035-07-26 04:24:00,337.8,M008,Auto,Yes,0.8,229.38,15.36
be4861e3-6b39-4de3-aa76-933bd54c0d92,B0036,2037-04-04 02:44:00,294.54,M056,Manual,No,0.93,238.71,32.73
6b4e01fc-c798-4331-a30e-ee0528dce036,B0027,2033-12-14 15:16:00,192.42,M075,Auto,No,0.78,215.17,39.07
1d3b4a36-86ef-4616-b561-571e977bd249,B0041,2026-03-24 02:21:00,470.67,M004,Manual,Yes,0.91,214.08,46.73
dde08a80-c50f-445e-b4dd-e792475f998c,B0025,2031-03-09 02:59:00,487.1,M091,Auto,No,0.88,215.53,20.38
18a254a0-1931-4e1b-8e12-91baa7e2ef33,B0031,2025-09-22 21:39:00,149.12,M044,Manual,Yes,0.94,238.18,42.33
fab3ca45-c12c-4a50-a028-5f904a8a8b63,B0042,2032-04-12 12:19:00,159.63,M083,Manual,No,0.85,226.5,33.14
5cf28fc0-95a9-4397-90c0-3ebcf7e6a8a8,B0013,2031-04-17 19:23:00,247.95,M038,Manual,No,0.83,212.37,12.0
14580f1c-d784-45b1-83ab-f7c4adba336d,B0002,2037-01-01 05:56:00,229.73,M015,Manual,No,0.87,213.06,39.08
b69f2203-dad4-46cc-9a20-f10a2725ae10,B0013,2038-08-03 16:06:00,497.28,M034,Manual,No,0.85,223.34,11.4
e99a04e6-48ae-4f6c-9303-99c81fc7bb27,B0043,2035-03-29 20:33:00,96.2,M019,Manual,Yes,0.83,228.97,26.06
5c1099bb-8205-45e4-997b-acc49d2e573d,B0027,2034-08-06 01:38:00,18.86,M055,Manual,No,0.81,212.15,7.48
5bf89aae-6e10-469b-8d86-3ce994000214,B0034,2030-08-24 05:58:00,252.01,M083,Auto,No,0.87,233.79,17.13
d0efb6d3-8703-4895-a194-355b8837aaa1,B0016,2039-09-11 14:33:00,97.62,M015,Auto,No,0.83,234.8,7.16
5ed2e1bb-98a8-4dea-a686-44d912418580,B0032,2035-09-13 03:52:00,189.57,M080,Auto,Yes,0.86,216.27,49.61
6ddd9f76-579c-4974-b297-3428911a702f,B0011,2027-12-11 07:53:00,374.64,M079,Manual,No,0.8,216.68,45.09
c696b4a6-2e1b-483c-a972-daf165dbf61e,B0011,2033-02-16 12:35:00,363.26,M094,Manual,Yes,0.93,221.0,10.49
f7728fd5-6366-460d-b968-4c5470c5a422,B0018,2034-07-27 09:41:00,160.95,M046,Manual,Yes,0.91,219.42,36.86
6fdd641c-fa51-4426-bc08-4f29c575aab5,B0014,2037-07-17 09:32:00,275.84,M096,Manual,Yes,0.71,217.06,21.79
df5707ac-6574-4437-8ac0-95dda8c641f5,B0006,2036-04-24 06:24:00,259.32,M087,Manual,Yes,0.73,223.65,21.27
93bdfe07-d136-4aed-9d57-c5b667e65a16,B0010,2032-07-26 12:28:00,321.8,M041,Auto,No,0.81,229.53,37.1
888c6ae8-4fb7-4227-b12d-a78c4e8fe63d,B0022,2039-10-02 23:28:00,132.73,M091,Auto,No,0.93,232.49,8.17
6a92cda5-abf8-4c94-bda1-68849cbee76e,B0045,2028-03-29 08:55:00,299.04,M021,Auto,No,0.89,222.13,40.83
a606aa6a-d104-4b35-a1d6-f5b9579ef05a,B0007,2025-10-07 12:30:00,489.66,M091,Manual,Yes,0.77,234.3,38.06
ebbc2196-fe1c-4c76-9435-f1ca49b10968,B0026,2025-10-03 20:47:00,248.5,M036,Manual,Yes,0.97,224.95,47.14
a1198f15-2585-4b08-a664-1d3591f91748,B0024,2030-01-16 21:23:00,453.99,M076,Manual,Yes,0.87,238.18,29.57
4c73aee7-8390-4acf-98f6-269addb7ea2f,B0032,2028-10-01 14:13:00,222.85,M024,Manual,No,0.88,237.1,24.31
4e6a917a-c89c-449b-bef6-33f707c946ef,B0037,2038-07-30 06:19:00,181.54,M051,Auto,No,0.71,215.99,12.39
8c511dd7-4387-4f90-9b21-c59deb14df6a,B0045,2028-09-27 01:51:00,326.1,M082,Manual,No,0.91,214.46,8.64
5e098a04-72ae-4f87-b715-a1c53d12d7d0,B0010,2025-03-16 01:28:00,337.77,M025,Manual,No,0.82,216.2,12.17
c2ae8d83-b6f4-4763-b45f-7dc79477e081,B0038,2027-09-09 17:57:00,433.44,M098,Auto,No,0.73,231.7,43.09
d5bda3ff-6191-44ea-9e64-910744ab98b7,B0003,2039-07-21 23:04:00,122.79,M039,Auto,No,0.9,218.59,12.37
08e51e28-0613-4b52-8755-07ee1183ade0,B0050,2032-08-04 09:36:00,254.6,M063,Manual,No,0.88,235.87,8.96
db222b21-92b9-4878-85d7-5afb6fa94a46,B0023,2039-08-26 12:35:00,290.28,M036,Manual,Yes,0.99,216.77,36.9
a157c8e4-24f0-4f2d-979c-dca4bc866078,B0027,2030-08-21 23:24:00,386.59,M079,Auto,No,0.93,238.49,12.45
b50a0083-2fc0-4d0b-b822-7dfd12b48a74,B0049,2025-08-16 16:18:00,31.37,M092,Auto,No,0.84,237.76,24.01
ad5fe027-1a06-4235-bae4-37c9eb7ffb28,B0022,2033-06-03 07:49:00,497.33,M084,Auto,Yes,0.81,227.65,36.74
edbbd531-f564-4bc5-9542-5eb5d6c59db5,B0014,2036-05-01 19:39:00,240.27,M098,Auto,Yes,0.81,217.23,30.03
d9ade3db-5ea3-466f-b73e-e88e3c5a2698,B0010,2032-02-05 04:17:00,146.98,M023,Auto,No,0.73,216.1,40.26
df893b56-d4a2-4234-9657-13a146c4834b,B0024,2032-06-27 10:18:00,442.91,M014,Auto,Yes,1.0,223.65,36.47
18174ac9-060e-4923-b82c-8aaac6695304,B0046,2027-03-06 04:14:00,376.38,M057,Manual,No,0.85,235.07,46.41
42fe5f60-8d55-4657-8dba-38cc28e28013,B0001,2027-10-02 20:58:00,477.01,M096,Auto,Yes,0.96,229.92,37.26
04615070-84aa-49e8-8fa8-6ae8779fdbc0,B0025,2025-03-29 17:55:00,172.07,M061,Auto,No,0.9,220.92,8.87
08bedf0e-f159-45af-b9a9-988d0c5bb21e,B0023,2034-04-17 15:45:00,280.85,M023,Auto,Yes,0.75,235.71,21.52
e5034467-6db3-4421-85cf-58187f1a31c0,B0011,2033-07-05 04:48:00,290.42,M050,Manual,Yes,0.77,238.15,8.96
d9983fb3-e9bc-459a-a16c-a9e45377787f,B0007,2026-07-17 22:30:00,490.36,M021,Auto,No,0.83,225.32,47.4
a345e0ba-bdbf-48d5-abf9-f2b1946d1191,B0007,2025-03-19 09:26:00,46.92,M013,Manual,No,0.89,218.16,45.13
d2ede752-30ce-43d1-bab6-3633cb806134,B0027,2037-04-27 06:55:00,159.79,M005,Auto,Yes,0.89,220.68,45.78
4ad4b052-775f-4db9-b7cb-bfdc7ed9d32e,B0049,2035-04-16 12:29:00,103.55,M097,Auto,Yes,0.94,218.38,42.58
d71c7f18-5d88-491d-8bc2-4a35e115dc09,B0010,2032-06-12 20:10:00,141.55,M061,Manual,Yes,0.71,237.84,32.7
9cf1fa40-203f-47c4-ab5d-618ed034adfd,B0045,2027-07-19 13:41:00,247.79,M055,Manual,No,0.85,228.64,39.14
f3a6aff6-9f4a-447e-b8f1-ea934ea6b6e6,B0012,2029-08-26 07:52:00,192.62,M079,Auto,Yes,0.72,231.83,27.64
7affdd2d-fa34-4bda-ba81-f48c04661d95,B0043,2037-01-09 06:48:00,203.4,M045,Auto,Yes,0.82,219.64,37.7
f6aa4d0d-c44b-4981-af82-3430c310eece,B0018,2038-10-14 02:21:00,423.66,M094,Manual,Yes,0.86,238.8,44.97
b03992be-ec5c-4c1a-89a8-93faeb655483,B0040,2036-05-28 15:46:00,465.71,M078,Auto,Yes,0.96,216.76,26.82
701533df-687d-42b2-906a-910cc08cdd4e,B0028,2038-08-31 20:39:00,44.5,M075,Manual,No,0.71,221.78,32.33
7b13e9e5-7f6b-4e67-91cc-df577bebfc72,B0030,2031-07-04 15:30:00,112.37,M068,Auto,No,0.9,229.17,10.75
5e1190d6-c80c-425d-834b-8aab892fd7aa,B0018,2033-12-02 11:49:00,338.86,M060,Auto,No,0.76,228.04,10.7
dfe9ffb9-61d6-47fe-a2d3-fc4dab07634e,B0025,2030-01-16 01:57:00,185.74,M060,Manual,No,0.93,236.73,17.4
5d740c3a-37bf-4ddf-88b1-52ffaa333982,B0044,2031-10-11 03:03:00,134.54,M004,Manual,Yes,0.81,235.11,25.64
862f9c85-8009-40c6-a348-1c3eb5d833c0,B0011,2037-01-09 03:48:00,154.69,M039,Auto,No,0.83,230.0,38.39
cff1bb65-83e6-4a7e-9ebe-436ae3cc6b39,B0036,2027-02-14 09:45:00,168.05,M087,Manual,Yes,0.95,227.03,26.79
140f9da2-bd56-4c31-a181-75ca6d436f43,B0022,2026-03-15 04:41:00,425.85,M039,Manual,Yes,0.91,219.15,35.14
49906eb5-4d53-499a-90e6-e1b3566875a4,B0045,2035-03-09 10:29:00,76.94,M059,Manual,Yes,0.71,224.64,11.63
536e7945-a90a-4710-aa21-d25c6c8c5546,B0015,2038-04-25 21:35:00,357.37,M041,Auto,Yes,0.73,238.65,29.17
f135af1e-a2b5-4b81-9e3e-4347c64a51b4,B0005,2039-04-17 19:46:00,280.88,M021,Auto,No,0.74,219.62,14.62
bdce3a21-0f95-4e8a-a795-53bc7544bf76,B0003,2028-03-26 12:20:00,155.29,M088,Auto,No,0.8,220.91,49.9
07e68748-fb05-4815-9388-218dc014e4eb,B0050,2038-06-04 17:08:00,215.69,M068,Manual,Yes,0.97,225.92,6.22
d7fa76b7-32bd-4768-993b-eba541eb3932,B0020,2035-03-27 11:16:00,135.54,M100,Auto,Yes,0.99,234.18,38.54
a34c9d9f-6799-4eaf-88b3-a4b14654be29,B0002,2036-09-07 21:34:00,309.64,M004,Manual,Yes,0.74,211.6,23.0
b06a330b-347f-4bdd-9224-e03ac1c16c7d,B0047,2033-03-04 09:34:00,49.98,M052,Manual,Yes,0.78,215.14,18.39
159b05d3-40cc-46a4-87aa-9790e4b95449,B0001,2035-08-08 04:13:00,12.54,M096,Auto,No,0.96,226.69,14.82
67cdff82-0fab-432e-8e8d-6a52295d33b2,B0031,2031-07-03 20:13:00,317.67,M057,Auto,Yes,0.72,236.28,16.94
f10379bb-3b35-40fd-a92b-0f638c7ce754,B0030,2038-04-19 18:25:00,105.19,M099,Manual,Yes,0.76,224.55,33.76
ea359a64-eecc-4299-a3de-e52b9b2567f7,B0039,2035-10-14 11:03:00,44.76,M053,Auto,No,0.99,222.99,16.76
8cf1b1dd-3cc9-441f-9224-d25162a251f7,B0006,2030-06-21 00:06:00,204.42,M085,Auto,Yes,0.89,237.56,32.23
5996424f-a957-4f87-b845-8722e0788fb2,B0040,2029-07-18 20:29:00,34.88,M015,Auto,Yes,0.71,237.05,18.79
f633922e-473d-4fb9-8633-21588ce38f78,B0006,2036-03-02 18:52:00,444.44,M027,Manual,No,0.86,211.96,36.73
d75cc3e0-74f5-46db-bef0-53be5c1b67bc,B0013,2037-12-27 13:00:00,23.53,M080,Auto,Yes,0.86,239.03,13.37
86f7699b-51c2-423a-82f2-797798190f55,B0007,2031-07-04 12:47:00,293.64,M100,Manual,Yes,0.71,237.69,42.4
2da1c507-d488-4dbb-a538-ed2a74415bca,B0039,2027-12-24 08:23:00,224.85,M049,Auto,Yes,0.91,218.51,11.64
696e9abf-81dc-401c-b626-af718b9b2df1,B0017,2039-09-21 15:30:00,339.29,M074,Auto,No,0.85,212.54,28.26
b5f68a85-ceec-4d9f-af6b-2ee7871f35ac,B0040,2036-09-17 09:56:00,170.79,M032,Manual,No,0.9,238.69,44.94
52306c9a-a3dc-46dd-b89f-cee867fa1f1b,B0016,2029-07-05 05:52:00,85.97,M046,Manual,No,0.95,235.47,45.21
481163b0-59cd-4f61-9141-e1c6352683bb,B0020,2035-03-31 13:08:00,491.1,M079,Manual,Yes,0.85,226.86,36.18
4a20306b-4409-48fd-a2be-4710b3c4ea9b,B0025,2027-06-09 14:50:00,421.08,M008,Manual,No,0.71,239.85,14.64
50b2d754-1fb6-457a-aec4-3cd3342fbc69,B0042,2032-08-05 00:52:00,431.6,M006,Manual,No,0.79,221.45,43.87
19534228-d882-4f82-8e3b-62b3f82b2c68,B0040,2034-11-05 16:11:00,132.62,M046,Manual,Yes,0.97,221.35,28.83
6d986d63-bd7b-4c25-a2ac-0674a734c499,B0029,2030-10-24 00:47:00,29.03,M007,Manual,Yes,0.96,226.4,12.33
ea8fd49a-5415-4295-a68a-f639b7fba7ca,B0039,2029-06-17 05:33:00,158.6,M026,Manual,Yes,0.97,227.52,21.32
3cafad10-3013-4f5f-98b3-babce38d54a2,B0005,2028-09-19 22:15:00,273.17,M007,Auto,No,0.91,230.4,42.78
1d9d8ec0-1715-4872-973a-ee3c595082e3,B0029,2034-11-25 21:23:00,170.06,M080,Manual,No,0.9,239.3,40.44
66c49530-259b-495f-a8d7-2dd931d8cb58,B0034,2032-01-28 13:34:00,415.66,M028,Auto,Yes,0.7,234.56,11.12
ef0a1431-80ad-4f36-8438-c1cc78551120,B0032,2031-10-02 01:47:00,143.06,M055,Auto,Yes,0.79,224.94,5.16
